ckpt,block,kind,layer,incumbent,rule,L0,L_after,gain_vs_incumbent,is_best,best_gain_alt,proxy_free,proxy_same,proxy_own,proxy_fit,proxy_lookahead
100,embed,embed,-1,adam,adam,2.4497213661670685,2.367034137248993,0.0,True,0.0,1.9594544064730852,4.3365076650151515,10.07223757400311,0.35393976064828725,0.010313272476196289
100,embed,embed,-1,adam,sign,2.4497213661670685,2.370729088783264,-0.0036949515342712402,False,,1.9594544064730852,4.3365076650151515,2.740197499802324,0.35393976064828725,0.009708642959594727
100,embed,embed,-1,adam,euclid,2.4497213661670685,2.390535831451416,-0.023501694202423096,False,,0.6757709303264718,1.3452148057516298,0.7680977205891317,1.0000003576278687,0.01355290412902832
100,embed,embed,-1,adam,rows,2.4497213661670685,2.3739441335201263,-0.006909996271133423,False,,1.0347926476970313,2.2719876522567484,2.640434140913708,0.5560255197378305,0.011991024017333984
100,embed,embed,-1,adam,cols,2.4497213661670685,2.3890130519866943,-0.021978914737701416,False,,0.8980176247190232,1.8177054702951405,0.9128558994283885,0.9372170567512512,0.014389514923095703
100,embed,embed,-1,adam,spectral,2.4497213661670685,2.370138257741928,-0.0031041204929351807,False,,1.3793661457763193,3.3553015836519924,4.849359663554226,0.4230057056133564,0.009929895401000977
100,pos,pos,-1,adam,adam,2.4497213661670685,2.367034137248993,0.0,True,0.0,4.62351968281079,13.980976901046375,46.03533950635842,0.5988205671310425,0.01323080062866211
100,pos,pos,-1,adam,sign,2.4497213661670685,2.3723961114883423,-0.005361974239349365,False,,4.62351968281079,13.980976901046375,15.56888917938271,0.5988205671310425,0.010286569595336914
100,pos,pos,-1,adam,euclid,2.4497213661670685,2.3692522644996643,-0.0022181272506713867,False,,1.6317517703693434,4.515084895708026,12.732878501957064,1.0000009536743164,0.013327360153198242
100,pos,pos,-1,adam,rows,2.4497213661670685,2.36787873506546,-0.0008445978164672852,False,,2.082198832312229,6.214674333750988,15.152102273521118,0.9341916441917419,0.012982606887817383
100,pos,pos,-1,adam,cols,2.4497213661670685,2.369747519493103,-0.0027133822441101074,False,,2.0391029061823223,5.850571412785046,14.465618200659728,0.9786116480827332,0.013161182403564453
100,pos,pos,-1,adam,spectral,2.4497213661670685,2.376651704311371,-0.00961756706237793,False,,4.462544511567068,16.99886329086924,36.23026110245362,0.4902140498161316,0.009202957153320312
100,L0.q,q,0,spectral,adam,2.4497213661670685,2.3770479559898376,-0.010013818740844727,False,,5.92370709920475,15.083867915394938,12.767132125254285,0.5900885462760925,0.013798952102661133
100,L0.q,q,0,spectral,sign,2.4497213661670685,2.3759651482105255,-0.008931010961532593,False,,5.92370709920475,15.083867915394938,4.1283919830092755,0.5900885462760925,0.014019966125488281
