arm,lr,seed,step,train_loss,val_loss,lr_now,wall_s
adamw,0.001,1,250,2.494422821998596,2.521900475025177,0.00017693309235023127,8.12
adamw,0.001,1,300,2.469814672470093,2.501850128173828,0.00010003046139830702,9.19
adamw,0.003,0,50,3.202089672088623,2.6772029399871826,0.0029671440782486893,1.01
adamw,0.003,0,100,2.575594072341919,2.5696102380752563,0.0025877888001196465,2.42
adamw,0.003,0,150,2.4916955995559693,2.519010603427887,0.0018998781461103647,3.56
adamw,0.003,0,200,2.451453895568848,2.4671777486801147,0.0011297514907076952,4.56
adamw,0.003,0,250,2.39518967628479,2.423958122730255,0.0005307992770506938,5.57
adamw,0.003,0,300,2.361557512283325,2.401093363761902,0.00030009138419492105,6.88
adamw,0.003,1,50,3.238962268829346,2.711439609527588,0.0029671440782486893,1.07
adamw,0.003,1,100,2.585815439224243,2.5777417421340942,0.0025877888001196465,2.08
adamw,0.003,1,150,2.4988432693481446,2.5164380073547363,0.0018998781461103647,3.1
adamw,0.003,1,200,2.448888883590698,2.490174412727356,0.0011297514907076952,4.43
adamw,0.003,1,250,2.425165901184082,2.450973391532898,0.0005307992770506938,5.47
adamw,0.003,1,300,2.392831120491028,2.4281168580055237,0.00030009138419492105,6.67
adamw,0.01,0,50,2.9844292974472046,2.6409270763397217,0.009890480260828964,1.04
adamw,0.01,0,100,2.5572328042984007,2.5681886672973633,0.008625962667065487,2.36
adamw,0.01,0,150,2.491533079147339,2.5138317942619324,0.006332927153701215,3.36
adamw,0.01,0,200,2.4206343698501587,2.4322685599327087,0.003765838302358984,4.37
adamw,0.01,0,250,2.330396127700806,2.378933370113373,0.0017693309235023128,5.47
adamw,0.01,0,300,2.27655433177948,2.322335958480835,0.0010003046139830702,6.77
adamw,0.01,1,50,3.244664764404297,2.878081798553467,0.009890480260828964,1.1
adamw,0.01,1,100,2.7324189281463624,2.714762568473816,0.008625962667065487,2.12
adamw,0.01,1,150,2.6220599031448364,2.614921987056732,0.006332927153701215,3.4
adamw,0.01,1,200,2.5596511650085447,2.546818494796753,0.003765838302358984,4.77
adamw,0.01,1,250,2.483272910118103,2.4819672107696533,0.0017693309235023128,6.37
adamw,0.01,1,300,2.42344473361969,2.458159387111664,0.0010003046139830702,7.52
adamw,0.03,0,50,3.396178674697876,3.0897677540779114,0.02967144078248689,1.05
adamw,0.03,0,100,2.9662781620025633,2.9196876287460327,0.02587788800119646,2.44
adamw,0.03,0,150,2.8824741983413698,2.8730680346488953,0.018998781461103644,3.54
adamw,0.03,0,200,2.8278007888793946,2.7895636558532715,0.01129751490707695,4.68
adamw,0.03,0,250,2.7150321054458617,2.69546377658844,0.005307992770506938,6.18
adamw,0.03,0,300,2.654149603843689,2.6561374068260193,0.0030009138419492105,7.54
adamw,0.03,1,50,3.309122290611267,2.9957523345947266,0.02967144078248689,1.09
adamw,0.03,1,100,2.8781695795059203,2.8594809770584106,0.02587788800119646,2.29
adamw,0.03,1,150,2.7867603302001953,2.7694813013076782,0.018998781461103644,3.86
adamw,0.03,1,200,2.7188502836227415,2.7143434286117554,0.01129751490707695,5.13
adamw,0.03,1,250,2.6687030029296874,2.67833149433136,0.005307992770506938,6.59
adamw,0.03,1,300,2.625236191749573,2.6484780311584473,0.0030009138419492105,8.31
adamw,0.1,0,50,3.467462568283081,3.373206317424774,0.09890480260828965,1.25
adamw,0.1,0,100,3.3117282009124756,3.3452463150024414,0.08625962667065488,2.47
adamw,0.1,0,150,3.272507119178772,3.287116587162018,0.06332927153701216,3.68
adamw,0.1,0,200,3.170825786590576,3.1782188415527344,0.03765838302358984,5.18
adamw,0.1,0,250,3.112364935874939,3.13727605342865,0.017693309235023127,6.31
adamw,0.1,0,300,3.073153896331787,3.111404597759247,0.010003046139830702,7.44
adamw,0.1,1,50,3.351910729408264,3.210268497467041,0.09890480260828965,1.22
adamw,0.1,1,100,3.132334380149841,3.158197343349457,0.08625962667065488,2.82
adamw,0.1,1,150,3.08972620010376,3.081823468208313,0.06332927153701216,4.04
adamw,0.1,1,200,3.0394946718215943,3.0288689732551575,0.03765838302358984,5.35
adamw,0.1,1,250,2.988517150878906,2.9915488362312317,0.017693309235023127,7.37
adamw,0.1,1,300,2.948952565193176,2.972057580947876,0.010003046139830702,8.51
lion,0.0001,0,50,3.983520956039429,3.774831235408783,9.890480260828964e-05,1.02
lion,0.0001,0,100,3.620884575843811,3.510556399822235,8.625962667065488e-05,2.1
lion,0.0001,0,150,3.400476951599121,3.347671151161194,6.332927153701216e-05,3.36
lion,0.0001,0,200,3.280594382286072,3.2559683322906494,3.765838302358984e-05,4.57
lion,0.0001,0,250,3.2101970052719118,3.2131041288375854,1.769330923502313e-05,5.59
lion,0.0001,0,300,3.177820348739624,3.1924808025360107,1.0003046139830703e-05,6.72
lion,0.0001,1,50,3.9996524381637575,3.8050453662872314,9.890480260828964e-05,1.42
lion,0.0001,1,100,3.6679559183120727,3.563379466533661,8.625962667065488e-05,2.87
lion,0.0001,1,150,3.4410938739776613,3.392745554447174,6.332927153701216e-05,4.58
lion,0.0001,1,200,3.3115555000305177,3.2988462448120117,3.765838302358984e-05,6.41
lion,0.0001,1,250,3.2454263734817506,3.2546544671058655,1.769330923502313e-05,7.67
lion,0.0001,1,300,3.214018177986145,3.2347248792648315,1.0003046139830703e-05,8.76
lion,0.0003,0,50,3.8015921354293822,3.423359513282776,0.0002967144078248689,1.34
lion,0.0003,0,100,3.172205729484558,3.0364996194839478,0.0002587788800119646,2.35
lion,0.0003,0,150,2.903035740852356,2.8544322848320007,0.00018998781461103644,3.37
lion,0.0003,0,200,2.7773007106781007,2.7607924938201904,0.0001129751490707695,4.37
lion,0.0003,0,250,2.7004857444763184,2.7164507508277893,5.307992770506938e-05,5.6
lion,0.0003,0,300,2.6665127229690553,2.694560170173645,3.0009138419492103e-05,6.71
