ckpt,block,kind,layer,incumbent,rule,L0,L_after,gain_vs_incumbent,is_best,best_gain_alt,proxy_free,proxy_same,proxy_own,proxy_fit,proxy_lookahead
100,L0.v,v,0,spectral,euclid,2.443095862865448,2.4169649183750153,-0.01725873351097107,False,,1.739826720784084,2.2648976132688885,4.137977450852687,1.0000003576278687,0.012714862823486328
100,L0.v,v,0,spectral,rows,2.443095862865448,2.4200162291526794,-0.020310044288635254,False,,1.824948344918612,2.461464677432303,5.7548315208859835,0.9403268694877625,0.012513160705566406
100,L0.v,v,0,spectral,cols,2.443095862865448,2.41897389292717,-0.01926770806312561,False,,1.8576048046735485,2.4664634145604096,5.584876463057288,0.9664037823677063,0.012633800506591797
100,L0.v,v,0,spectral,spectral,2.443095862865448,2.399706184864044,0.0,False,,1.3877232658423473,2.519874034444273,30.847655183772876,0.23365837335586548,0.005855560302734375
100,L0.v,v,0,spectral,spectral_head,2.443095862865448,2.404081881046295,-0.0043756961822509766,False,,1.7785354500122021,3.115627026113953,20.429912469857314,0.5073693990707397,0.008818626403808594
100,L0.v,v,0,spectral,normuon,2.443095862865448,2.3996637761592865,4.240870475769043e-05,True,-2.6464462280273438e-05,1.3877232658423473,2.519874034444273,31.027678256049626,0.23365837335586548,0.005860328674316406
100,L0.v,v,0,spectral,pw05,2.443095862865448,2.4160585403442383,-0.016352355480194092,False,,1.4083303641500902,2.06906757145777,9.152709986323233,0.5365952969665847,0.011803150177001953
100,L0.o,o,0,spectral,adam,2.443095862865448,2.410651206970215,-0.010945022106170654,False,,5.8023209941647,8.383520559878525,26.06983274706219,0.6100863814353943,0.006374835968017578
100,L0.o,o,0,spectral,sign,2.443095862865448,2.412058502435684,-0.012352317571640015,False,,5.8023209941647,8.383520559878525,8.014640785075862,0.6100863814353943,0.010007381439208984
100,L0.o,o,0,spectral,euclid,2.443095862865448,2.4163533747196198,-0.01664718985557556,False,,2.022182685563573,2.83855017829962,6.410254018601782,1.000000238418579,0.01260232925415039
100,L0.o,o,0,spectral,rows,2.443095862865448,2.4180006086826324,-0.018294423818588257,False,,2.183682731023997,3.141494180904078,7.823478799520773,0.9683029055595398,0.012265443801879883
100,L0.o,o,0,spectral,cols,2.443095862865448,2.417030453681946,-0.01732426881790161,False,,2.148079792951689,3.119753278738286,7.8416284576833695,0.9592099785804749,0.012325763702392578
