arm,lr,seed,step,train_loss,val_loss,lr_now,wall_s
sgd,0.3,1,100,2.9837701439857485,2.582313746213913,0.29653995874600675,21.64
sgd,0.3,1,200,2.5129851627349855,2.503773868083954,0.25821232800760874,41.72
sgd,0.3,1,300,2.4569183588027954,2.4670605659484863,0.18921556910155676,60.04
sgd,0.3,1,400,2.4215694785118105,2.438040792942047,0.11225129765394805,79.48
sgd,0.3,1,500,2.402719650268555,2.4274260699748993,0.052642635142492525,100.83
sgd,0.3,1,600,2.3904338312149047,2.413751244544983,0.030002284624204525,120.18
sgd,0.3,2,100,2.893836555480957,2.5601321160793304,0.29653995874600675,20.06
sgd,0.3,2,200,2.495594835281372,2.495115637779236,0.25821232800760874,44.07
sgd,0.3,2,300,2.446757514476776,2.4574698209762573,0.18921556910155676,65.22
sgd,0.3,2,400,2.4140976452827454,2.4395386278629303,0.11225129765394805,86.6
sgd,0.3,2,500,2.3972142362594604,2.4215368032455444,0.052642635142492525,105.0
sgd,0.3,2,600,2.381086914539337,2.412598580121994,0.030002284624204525,127.03
sgd,0.3,3,100,2.90254709482193,2.564734786748886,0.29653995874600675,20.31
sgd,0.3,3,200,2.498336935043335,2.500144213438034,0.25821232800760874,38.49
sgd,0.3,3,300,2.4453291082382203,2.455582022666931,0.18921556910155676,59.56
sgd,0.3,3,400,2.417259590625763,2.4310412406921387,0.11225129765394805,80.8
sgd,0.3,3,500,2.3963297247886657,2.4148368537425995,0.052642635142492525,111.52
sgd,0.3,3,600,2.381767189502716,2.403642773628235,0.030002284624204525,149.98
adamw,0.01,1,100,2.760995714664459,2.5640708208084106,0.009884665291533559,42.53
adamw,0.01,1,200,2.512243716716766,2.4965818524360657,0.008607077600253624,69.48
adamw,0.01,1,300,2.40869526386261,2.373601257801056,0.006307185636718559,95.1
adamw,0.01,1,400,2.2367313051223756,2.194932758808136,0.0037417099217982685,116.85
adamw,0.01,1,500,2.066931856870651,2.1155621707439423,0.001754754504749751,144.18
adamw,0.01,1,600,1.9636925888061523,2.050451099872589,0.0010000761541401509,167.3
adamw,0.01,2,100,2.772094717025757,2.548677682876587,0.009884665291533559,17.5
adamw,0.01,2,200,2.5102370381355286,2.4939985871315002,0.008607077600253624,38.01
adamw,0.01,2,300,2.3657885909080507,2.2867033779621124,0.006307185636718559,67.21
adamw,0.01,2,400,2.1421322655677795,2.155233681201935,0.0037417099217982685,120.26
adamw,0.01,2,500,2.017942246198654,2.047583222389221,0.001754754504749751,156.25
adamw,0.01,2,600,1.9238963437080383,2.0169752538204193,0.0010000761541401509,196.19
adamw,0.01,3,100,2.7293547439575194,2.577805459499359,0.009884665291533559,38.95
adamw,0.01,3,200,2.5017087650299072,2.505121201276779,0.008607077600253624,86.51
adamw,0.01,3,300,2.395703911781311,2.377161681652069,0.006307185636718559,118.93
adamw,0.01,3,400,2.2253305292129517,2.2158655524253845,0.0037417099217982685,160.65
adamw,0.01,3,500,2.0658837473392486,2.113637089729309,0.001754754504749751,193.31
