arm,step,block,kind,layer,rule,r_eff_frac,d_eff_frac,m_eff_frac,ns_dual_rel_err,ns_cos,fit_sign,fit_euclid,fit_rows,fit_cols,fit_spectral,fit_pw05,Lfree_sign,Lsame_sign,Efree_sign,Esame_sign,Lfree_euclid,Lsame_euclid,Efree_euclid,Esame_euclid,Lfree_rows,Lsame_rows,Efree_rows,Esame_rows,Lfree_cols,Lsame_cols,Efree_cols,Esame_cols,Lfree_spectral,Lsame_spectral,Efree_spectral,Esame_spectral,Lfree_pw05,Lsame_pw05,Efree_pw05,Esame_pw05,argmax_free,argmax_same,snr_block,snr_row_median,act_pr,fit_spectral_head,Lfree_spectral_head,Lsame_spectral_head,Efree_spectral_head,Esame_spectral_head
muon,50,embed,embed,-1,adam,0.3580309647780198,0.39260198152982273,0.6133434589092548,-0.08627173789118314,0.9807597994804382,0.39260198152982273,1.0000004768371582,0.6133434589092548,0.9450350999832153,0.3580311995286208,0.644134420733527,2975.4333195008735,1932.3584215554763,1.097805978349422,1.6903947269258444,3.2080310134463903,2.3623614897708447,0.31171783335188424,0.4233054429507149,79.15872915626697,51.521053024686175,0.5036377573773274,0.7738064827595671,271.9617983081032,193.81597699009183,0.44478486886901636,0.6241203366017418,30.557110257860003,16.787238130357554,0.7615910059420528,1.386292382299705,7.075616573230795,4.727908516428534,0.36602988804957654,0.5477870676181779,sign,sign,4.344567775726318,1.1055381298065186,nan,,,,,
muon,50,pos,pos,-1,adam,0.32572466135025024,0.6099984049797058,0.9562960267066956,-0.09995185802580586,0.9749228954315186,0.6099984049797058,0.9999994039535522,0.9562960267066956,0.9643121361732483,0.3257245421409607,0.6113054597459836,3832.4341282288365,2094.7330689616183,2.6077979510651983,4.771115716496393,1.3409506575229322,0.7907807955673728,0.7457391503135534,1.2645721918879786,114.63229506544,63.30260539415785,1.0678133186514265,1.9336627719552564,123.12109301211154,66.70463041531065,1.0025248347822389,1.8504255650870762,18.63888827549274,5.984183296397071,2.236869487669436,6.96715966114064,3.486019153328838,1.5983101437396012,0.8837554351946876,1.9275285125444774,sign,spectral,0.8776106834411621,0.7306230664253235,nan,,,,,
muon,50,L0.q,q,0,spectral,0.14014281332492828,0.5142563581466675,0.7974345684051514,-0.08549344107651502,0.9449962973594666,0.5142563581466675,1.0,0.7974345684051514,0.8939958214759827,0.14014239609241486,0.42413623537101014,1306.270647096377,967.1652684540164,6.450099901275175,8.711619871692685,0.4700591811202678,0.3618624070211285,2.12739169909787,2.7634813138840695,44.23974626817203,32.6868944912915,2.3072380238603243,3.1227079336965917,47.368315475929,35.3152316182327,2.4157807597586203,3.2402864119924564,8.331931896495279,4.523169207822892,2.152955909359384,3.9658657876240655,1.1557746685187182,0.8238436678118671,1.8494203229467547,2.5945616191756526,sign,sign,6.030951499938965,3.8533425331115723,0.09252113375724534,0.2279241532087326,14.626452876137119,8.61695505180226,2.405286978894774,4.082743433021908
muon,50,L0.k,k,0,spectral,0.07255440205335617,0.4719480872154236,0.735339343547821,-0.1937581277501237,0.9161396026611328,0.4719480872154236,1.0,0.735339343547821,0.7867723107337952,0.07255405187606812,0.3181329505370176,1918.680263910606,1608.5918309751726,4.0300604568566945,4.8069356763113165,0.9861222229533104,0.8393666270901148,1.014073080114884,1.1913745051632123,76.93108549070323,64.63353738605456,1.223477289755589,1.4562631070604117,91.47336919404368,76.90253860569635,1.1009418004522713,1.309538769458336,11.593337114610616,8.242394632520154,0.8010606637280089,1.1267315795838087,2.2062726692909527,1.832220278333689,0.7266960364886692,0.8750528651746623,sign,sign,17.531700134277344,8.20444107055664,0.09252113375724534,0.12480877339839935,20.073318711871746,14.262886884061993,1.057237497603175,1.4879361672036402
muon,50,L0.v,v,0,spectral,0.13726621866226196,0.5901850461959839,0.8928617835044861,-0.05931656927926687,0.921789824962616,0.5901850461959839,1.000000238418579,0.8928617835044861,0.9398078322410583,0.13726577162742615,0.4361288263727856,5535.056563036111,4305.007037951379,1.7469725352853482,2.2461268266535663,2.091314546415416,1.6602862224286032,0.47816826030910237,0.6023059306941769,203.88349492794444,157.59558429513928,0.5605471317281703,0.7251872493745953,206.8873360229413,162.5495653900898,0.5814536783127033,0.7400536706337423,30.313658235368894,19.271611330767943,0.5796094777391109,0.9117080723869042,4.953095370544301,3.77200927434447,0.4437534150532648,0.5827008434769895,sign,sign,7.6553449630737305,4.830145359039307,0.09252113375724534,0.3342737853527069,61.033135394933694,39.01990886018887,0.7659801738656481,1.1981107344172988
muon,50,L0.o,o,0,spectral,0.1427636742591858,0.5975057482719421,0.9158449769020081,-0.06466545404152224,0.9362015128135681,0.5975057482719421,1.0000009536743164,0.9158449769020081,0.9167636632919312,0.14276373386383057,0.43373985497484063,2735.5359025827797,1882.956332397342,3.5786531518173925,5.199023477737087,0.9627578805773092,0.712795651524923,1.0386837374674875,1.4029279661498486,101.82750527372673,71.08189595307586,1.1512425520818876,1.6491985121055897,98.87492188996735,68.88746461548378,1.1868100288560028,1.7034412509789405,23.082245956002005,11.821248726767353,0.7916802363774589,1.5458398987234123,2.7059824974258153,1.7799760001065257,0.8078070192639716,1.2280568138532237,sign,sign,2.4571454524993896,1.4905070066452026,0.06623725958365562,0.3291241228580475,45.45509440863691,24.312048805466045,1.034430370659101,1.934025821258603
muon,50,L0.up,up,0,spectral,0.31690290570259094,0.5811223387718201,0.9007437825202942,-0.11298956665080617,0.9831568002700806,0.5811223387718201,1.0000020265579224,0.9007437825202942,0.9710594415664673,0.3169032335281372,0.5905278235809227,4550.1961781938735,2879.7918310320642,8.369844310507728,13.224717558873428,0.4603061447508239,0.30109046439295023,2.1724715995248127,3.3212676747305734,125.24496751644106,78.83809206307261,3.682230318674088,5.849720669057205,52.056115801571224,33.1559556650931,2.3877234520205244,3.748816947881475,17.769688737090664,8.269289697711667,2.2827417338062816,4.905331843450754,1.5116447680438299,0.881308761664899,1.9687644959544197,3.3768784327047703,sign,sign,2.013573408126831,1.6851166486740112,0.09902111530023408,,,,,
muon,50,L0.down,down,0,spectral,0.20145128667354584,0.5744443535804749,0.9396414756774902,-0.10811753005909808,0.9836287498474121,0.5744443535804749,1.0000015497207642,0.9396414756774902,0.890251636505127,0.20145148038864136,0.4908250971799317,6329.00667822027,4156.316095891937,5.948292847565197,9.057729077309524,0.7159178712748532,0.4812939569938288,1.3968104301405913,2.077735519404384,80.3123704004898,52.65550500326387,1.4975788696928467,2.2841696965827887,214.90095679175815,141.020798467648,2.1210181876123975,3.232210020390669,21.320077545860737,10.860704496829163,1.2094601303505328,2.3742275443760104,2.1668232326139933,1.3353083069814695,1.1415802157319364,1.8524579832294723,sign,sign,2.8543941974639893,2.1368701457977295,0.022267450125320987,,,,,
muon,50,L1.q,q,1,spectral,0.1394505351781845,0.5543718338012695,0.8686288595199585,-0.15426320958729012,0.9457502365112305,0.5543718338012695,1.0,0.8686288595199585,0.9182866811752319,0.1394505649805069,0.4372104346161065,122.23462266166989,88.20830514393532,74.30650929516206,102.9702147680873,0.04793177344500169,0.03564869795179135,20.862987703708253,28.05151541165194,4.667361244919451,3.340635322196222,23.821703138916455,33.282439804132544,5.061853774347902,3.647917258032477,23.22087923323545,32.22131613089982,0.9603277413437207,0.5387085848162756,18.587057133727253,33.13417884652152,0.12543355378795076,0.08585338516458177,17.566286989645967,25.664705005474094,sign,sign,2.89341402053833,2.0201449394226074,0.07138862197835706,0.24083036184310913,1.6183044860871887,0.9854387681911109,21.47522695172845,35.2669868869851
muon,50,L1.k,k,1,spectral,0.11912843585014343,0.542060375213623,0.8519657850265503,-0.1309603214374262,0.9441077709197998,0.542060375213623,0.9999997019767761,0.8519657850265503,0.8868966102600098,0.11912845075130463,0.40317400246162705,144.99542746293474,111.03196679338036,61.251015586476235,79.98702935729213,0.04922648645386502,0.03903314369042387,20.31426116332666,25.619245785271183,4.857399503526862,3.72465546712798,22.450617949834722,29.278310825212063,5.078157029943111,3.93838331360634,22.35511140043517,28.82471234353508,0.9998120812795285,0.6477957863176158,15.251310563956634,23.538968420695458,0.13126074572816876,0.09904425020230692,15.479649714551178,20.514773558207988,sign,sign,2.6373419761657715,1.9094513654708862,0.07138862197835706,0.21924687922000885,1.600930216575393,1.007181529047473,20.27291878387062,32.22410987815839
